,선명,역명,도로명주소,latlon,name
93,3호선,배산,부산광역시 연제구 연수로 지하 229,"(35.1734597519057, 129.09572992884)",3호선 배산
94,3호선,사직,부산광역시 동래구 아시아드대로 지하 153,"(35.1989685416646, 129.065058574788)",3호선 사직
95,3호선,수영,부산광역시 수영구 수영로 지하 677(광안동),"(35.1658917101376, 129.114828522838)",3호선 수영
96,3호선,숙등(부민병원),부산광역시 북구 만덕대로 지하79,"(35.2121463367969, 129.013468826688)",3호선 숙등(부민병원)
97,3호선,연산,부산광역시 연제구 중앙대로 지하 1101,"(35.1860724027287, 129.081505014634)",3호선 연산
98,3호선,종합운동장,부산광역시 연제구 아시아드대로 지하 73,"(35.1912752659699, 129.067572402416)",3호선 종합운동장
99,3호선,체육공원,부산광역시 강서구 낙동북로 371,"(35.2125080419031, 128.969459807101)",3호선 체육공원
100,4호선,고촌,부산광역시 기장군 철마면 반송로 991,"(35.2359709392736, 129.160444908653)",4호선 고촌
101,4호선,금사,부산광역시 금정구 반송로 465(금사동),"(35.2157717462804, 129.115091142891)",4호선 금사
102,4호선,낙민,부산광역시 동래구 충렬대로 지하 285,"(35.2001921196404, 129.090827782697)",4호선 낙민
103,4호선,동래,부산광역시 동래구 충렬대로 지하 147,"(35.2047981763332, 129.077099236802)",4호선 동래
104,4호선,명장,부산광역시 동래구 반송로 지하 281,"(35.205329115545, 129.101822024669)",4호선 명장
105,4호선,미남,부산광역시 동래구 아시아드대로 지하 232,"(35.2055969458619, 129.068122269653)",4호선 미남
106,4호선,반여농산물시장,부산광역시 해운대구 반송로 550,"(35.2177593254883, 129.12401666075)",4호선 반여농산물시장
107,4호선,서동,부산광역시 금정구 반송로 387(서동),"(35.2130595998556, 129.107418849359)",4호선 서동
108,4호선,석대,부산광역시 해운대구 석대천로 121,"(35.2181127800416, 129.136827064424)",4호선 석대
109,4호선,수안,부산광역시 동래구 충렬대로 지하 223,"(35.2018368298853, 129.083897697782)",4호선 수안
110,4호선,안평(고촌주택단지),부산광역시 기장군 철마면 반송로 1001,,4호선 안평(고촌주택단지)
111,4호선,영산대(아랫반송),부산광역시 해운대구 반송로 803,"(35.2256086484524, 129.146159216603)",4호선 영산대(아랫반송)
112,4호선,윗반송,부산광역시 해운대구 반송로 917,"(35.2324239126014, 129.153808006776)",4호선 윗반송
113,4호선,충렬사(안락),부산광역시 동래구 반송로 지하 205,"(35.1996904189027, 129.097538096042)",4호선 충렬사(안락)
114,부산김해경전철,가야대(삼계),경상남도 김해시 해반천로 211,"(35.2667272134317, 128.865070349628)",부산김해경전철 가야대(삼계)
115,부산김해경전철,공항,부산광역시 강서구 공항진입로 165,"(35.1719068103559, 128.948586846191)",부산김해경전철 공항
116,부산김해경전철,괘법르네시떼(강변공원),부산광역시 사상구 광장로 9,"(35.1632615956026, 128.977683601466)",부산김해경전철 괘법르네시떼(강변공원)
117,부산김해경전철,김해대학(안동),경상남도 김해시 김해대로 2641,"(35.2289957963929, 128.915612645144)",부산김해경전철 김해대학(안동)
118,부산김해경전철,김해시청,경상남도 김해시 김해대로 2408,"(35.2271030385541, 128.890410697215)",부산김해경전철 김해시청
119,부산김해경전철,대사,부산광역시 강서구 낙동북로 82,"(35.2176572092674, 128.938417239188)",부산김해경전철 대사
120,부산김해경전철,대저,부산광역시 강서구 낙동북로 294,"(35.2130661412997, 128.960562245274)",부산김해경전철 대저
121,부산김해경전철,덕두,부산광역시 강서구 경전철로 10,"(35.1820003381286, 128.954198302529)",부산김해경전철 덕두
122,부산김해경전철,등구,부산광역시 강서구 경전철로 194,"(35.1961434172276, 128.963598999507)",부산김해경전철 등구
123,부산김해경전철,박물관,경상남도 김해시 김해대로 2103,"(35.2400646663399, 128.871862771181)",부산김해경전철 박물관
124,부산김해경전철,봉황(김해여객터미널),경상남도 김해시 김해대로 2249,"(35.2272675650813, 128.874306948886)",부산김해경전철 봉황(김해여객터미널)
125,부산김해경전철,부원,경상남도 김해시 김해대로 2350,"(35.2264662369188, 128.883899677482)",부산김해경전철 부원
126,부산김해경전철,불암,경상남도 김해시 김해대로 2787,"(35.2221625997034, 128.927893077498)",부산김해경전철 불암
127,부산김해경전철,사상(서부터미널),부산광역시 사상구 광장로 83,"(35.1623018019972, 128.985940757007)",부산김해경전철 사상(서부터미널)
128,부산김해경전철,서부산유통지구(금호마을),부산광역시 강서구 유통단지 1로 57번길 7,"(35.1664020385176, 128.954888138841)",부산김해경전철 서부산유통지구(금호마을)
129,부산김해경전철,수로왕릉(김해보건소),경상남도 김해시 김해대로 2181,"(35.2328214954461, 128.872140927623)",부산김해경전철 수로왕릉(김해보건소)
130,부산김해경전철,연지공원,경상남도 김해시 해반천로 5,"(35.2496576259019, 128.869290834259)",부산김해경전철 연지공원
131,부산김해경전철,인제대(활천),경상남도 김해시 김해대로 2515,"(35.2280994658044, 128.901735952587)",부산김해경전철 인제대(활천)
132,부산김해경전철,장신대(화정),경상남도 김해시 해반천로 129,"(35.2595564155339, 128.86711419315)",부산김해경전철 장신대(화정)
133,부산김해경전철,지내,경상남도 김해시 김해대로 2718,"(35.2275007024395, 128.923721297397)",부산김해경전철 지내
134,부산김해경전철,평강,부산광역시 강서구 낙동북로 203,"(35.214256709204, 128.95088489304)",부산김해경전철 평강
135,동해,개운포,울산광역시 남구 산업로 133,"(35.5076156322014, 129.320952440028)",동해 개운포
136,동해,거제(법원·검찰청),부산광역시 연제구 법원남로9번길 17,"(35.1895110545428, 129.074289798203)",동해 거제(법원·검찰청)
137,동해,거제해맞이,부산광역시 연제구 거제대로 123,"(35.1811704174524, 129.068996371984)",동해 거제해맞이
138,동해,교대,부산광역시 연제구 중앙대로 1196,"(35.1937054345333, 129.079476548959)",동해 교대
139,동해,기장,부산광역시 기장군 기장읍 차성로288번길 86,"(35.243815709882, 129.218740173832)",동해 기장
140,동해,남창,울산광역시 울주군 온양읍 남창리 42-36,"(35.4185132790352, 129.282552192062)",동해 남창
141,동해,덕하,울산광역시 울주군 청량읍 덕하로 229,"(35.493751556952, 129.303549815497)",동해 덕하
