,name,address,latlon
94,김세중미술관,서울특별시 용산구 효창원로70길 35,"(37.5420178518731, 126.963882789719)"
95,속초시박물관,강원도 속초시 신흥2길 16,"(38.2010532289486, 128.53820409959)"
96,김시습기념관,강원도 강릉시 운정길 85,"(37.7862561351739, 128.887619165588)"
97,산속등대 미술관,전라북도 완주군 소양면 원암로 82,"(35.8693021511164, 127.251989101307)"
98,김중업건축박물관,경기도 안양시 만안구 예술공원로103번길 4,"(37.4183923842176, 126.918324563246)"
99,김천세계도자기박물관,경상북도 김천시 대항면 직지사길 118,"(36.1168951132647, 128.011191515125)"
100,김천시립미술관,경상북도 김천시 남산공원길 90-14,"(36.1167954879263, 128.119487592178)"
101,화성시 역사박물관,경기도 화성시 향남읍 행정동로 96,"(37.1326382495102, 126.928110194214)"
102,서울우리소리박물관,서울특별시 종로구 율곡로 96,"(37.577157928122, 126.989622047178)"
103,김해민속박물관,경상남도 김해시 분성로 261번길 35,"(35.2350529997237, 128.875790195887)"
104,김해분청도자박물관,경상남도 김해시 진례면 진례로 275-35,"(35.2514958476212, 128.745850279506)"
105,신문박물관,서울특별시 종로구 세종대로 152,"(37.5698677620456, 126.977657083792)"
106,의학박물관,서울특별시 종로구 대학로 101,"(37.5804523853297, 126.997196437908)"
107,김해한림박물관,경상남도 김해시 한림면 김해대로 1029-20,"(35.2949696544355, 128.793309384227)"
108,꼭두박물관,서울특별시 종로구 성균관로 4길 21,
109,나절로미술관,전라남도 진도군 임회면 진도대로 3886,"(34.3827813370562, 126.218468439236)"
110,나주배박물관,전라남도 나주시 금천면 영산로 5838,"(35.0334351464739, 126.767207975392)"
111,남도전통미술관,전라남도 진도군 의신면 운림산방로 315,"(34.4669934819648, 126.308381639922)"
112,창원시립마산문신미술관,경상남도 창원시 마산합포구 문신길 147,"(35.2067524865318, 128.569265961364)"
113,가천박물관,인천광역시 연수구 청량로102번길 40-9,"(37.4184799727221, 126.657602644152)"
114,사비나미술관,서울특별시 종로구 율곡로 49-4,"(37.5765150575925, 126.984574541361)"
115,남송미술관,경기도 가평군 북면 백둔로 322,"(37.9045119048873, 127.472274765005)"
116,남양주시립박물관,경기도 남양주시 와부읍 팔당로 121,"(37.54638614397, 127.244374427567)"
117,남원시립김병종미술관,전라북도 남원시 함파우길 65-14,"(35.3987064418299, 127.389554613503)"
118,남원향토박물관,전라북도 남원시 양림길 14-9,"(35.4014643455247, 127.386901565874)"
119,성균관대학교 박물관,서울특별시 종로구 성균관로 25-2(명륜3가),"(37.5872284082508, 126.993115116294)"
120,국립현대미술관(서울관),서울특별시 종로구 삼청로 30,"(37.5786280284849, 126.980087994867)"
121,OCI 미술관,서울특별시 종로구 우정국로 45-14,"(37.5732395069024, 126.982128279816)"
122,JCC미술관,서울특별시 종로구 창경궁로35길 29,"(37.5871831839413, 127.001885702262)"
123,남해유배문학관,경상남도 남해군 남해읍 남해대로 2745 남해유배문학관,"(34.8319601067584, 127.899185508281)"
124,소다미술관,경기도 화성시 효행로707번길 30,"(37.2016201218872, 127.006088012645)"
125,녹청자박물관,인천광역시 서구 도요지로 54,"(37.5582018589055, 126.656269187506)"
126,세종문화회관 미술관(세종미술관),서울특별시 종로구 세종대로 175,"(37.5718478584908, 126.976168275947)"
127,아라리오뮤지엄 인스페이스,서울특별시 종로구 율곡로 83,"(37.5777621971432, 126.988357552948)"
128,농민문학기념관,충청북도 영동군 매곡면 노천2길 5-1,"(36.1888440057284, 127.929877477207)"
129,서대문자연사박물관(3월~10월),서울특별시 서대문구 연희로 32길 51,"(37.5767519879565, 126.937858169171)"
130,아트센터 나비 미술관,서울특별시 종로구 종로 26,"(37.5696912777696, 126.980303746598)"
131,서대문형무소역사관(3월~10월),서울특별시 서대문구 통일로 251,"(37.5746085138333, 126.955611774864)"
132,누벨백미술관,전라북도 전주시 완산구 홍산북로 29-5,"(35.8178949748216, 127.104948252019)"
133,다산미술관,전라남도 화순군 사평면 다공길 25,"(35.0233743681006, 127.126348329123)"
134,옥천골미술관,전라북도 순창군 순창읍 남계로 81,"(35.3740828110973, 127.144398865522)"
135,서울대학교 박물관,서울특별시 관악구 관악로 1 박물관강당,"(37.4662872666604, 126.94815644252)"
136,섬진강미술관,전라북도 순창군 적성면 평남길 113,"(35.426341639065, 127.218910521797)"
137,김해한글박물관,경상남도 김해시 외동 분성로 221,"(35.2313720403672, 128.870455939065)"
138,당림미술관,충청남도 아산시 송악면 외암로 1182번길 34-19,"(36.7427839742888, 127.018695317079)"
139,닻미술관,경기도 광주시 초월읍 진새골길 184,"(37.3803360244154, 127.271123548928)"
140,대가야박물관,경상북도 고령군 대가야읍 대가야로 1203,"(35.7224311265112, 128.25681025137)"
141,세계민속악기박물관,강원도 영월군 남면 연당로123,"(37.1905633359583, 128.407495414302)"
142,우주미술관,경상남도 사천시 정동면 사천강1길 3,"(35.0736676800304, 128.083171417662)"
143,김해시수도박물관,경상남도 김해시 한림면 김해대로 1347,"(35.284770910229, 128.822601153585)"
144,세계민속악기박물관,경기도 파주시 탄현면 헤이리마을길 63-26,"(37.7895075878518, 126.699378269018)"
145,클레이아크 김해미술관,경상남도 김해시 진례면 진례로 275-51,"(35.2508647914483, 128.744796787852)"
146,서울시립 남서울미술관,서울특별시 관악구 남부순환로 2076 서울시립미술관,"(37.4760535374985, 126.979465861688)"
147,김해목재문화박물관,경상남도 김해시 관동로27번길 5-49(관동동),"(35.1800600556175, 128.808133307508)"
148,김해 화포천습지 생태박물관,경상남도 김해시 한림면 한림로 183-300,"(35.3109722342111, 128.788780390159)"
149,세계민속악기박물관,강원도 영월군 남면 연당로 123,"(37.1905633359583, 128.407495414302)"
150,대구미술관,대구광역시 수성구 미술관로40,"(35.827028624816, 128.674340825269)"
