,지점,도로명주소,latlon
199,안양사거리점,경기 안양시 만안구 안양로,"(0.0, 0.0)"
200,안양타운,경기 안양시 만안구 장내로149번길,"(0.0, 0.0)"
201,양주고읍점,경기 양주시 고읍남로 2,"(37.7898015, 127.0775307)"
202,양주옥정점,경기 양주시 옥정로 200,"(37.8347206, 127.0920007)"
203,LF스퀘어양주점,경기 양주시 평화로 1593,"(37.8312211, 127.0526749)"
204,양주덕정점,경기 양주시 회정로 135,"(0.0, 0.0)"
205,양평점,경기 양평군 양평읍 양근로,"(37.48942045, 127.4912163)"
206,여주중앙로점,경기 여주시 세종로14번길 18,"(0.0, 0.0)"
207,연천전곡점,경기 연천군 전곡읍 전곡로,"(38.0267735, 127.0677922)"
208,오산갈곶점,경기 오산시 경기대로 50,"(0.0, 0.0)"
209,오산점,경기 오산시 대원로 16,"(37.14626, 127.0766186)"
210,오산시청점/주식회사 썬뷰티,경기 오산시 121,"(37.15802205, 127.0794767)"
211,오산시청점,경기 오산시 121,"(37.15802205, 127.0794767)"
212,오산세교점,경기 오산시 수청로 193,"(37.1753384, 127.0567128)"
213,홈플러스오산점,경기 오산시 청학로 238,"(37.1583543, 127.0646085)"
214,강남대점,경기 용인시 기흥구 강남로,"(0.0, 0.0)"
215,용인구갈점,경기 용인시 기흥구 구갈로,"(37.2768496, 127.111252)"
216,용인구성점,경기 용인시 기흥구 구성로,"(37.2938861, 127.1205681)"
217,용인동백점,경기 용인시 기흥구 동백5로,"(37.2766283, 127.1515743)"
218,용인신갈점,경기 용인시 기흥구 신갈로58번길,"(37.2730266, 127.1095201)"
219,용인연원마을점,경기 용인시 기흥구 용구대로,"(0.0, 0.0)"
220,용인죽전점,경기 용인시 기흥구 죽전로,"(37.3204988, 127.1155571)"
221,AK기흥점,경기 용인시 기흥구 중부대로,"(0.0, 0.0)"
222,용인보라점,경기 용인시 기흥구 한보라2로,"(37.2438645, 127.1050914)"
223,용인흥덕점,경기 용인시 기흥구 흥덕2로87번길,"(0.0, 0.0)"
224,용인광교점,경기 용인시 수지구 광교중앙로,"(0.0, 0.0)"
225,용인상현점,경기 용인시 수지구 만현로,"(37.3109809, 127.0873997)"
226,롯데몰수지점,경기 용인시 수지구 성복2로,"(37.3124642, 127.0816814)"
227,용인동천역점,경기 용인시 수지구 신수로,"(37.3381417, 127.1013797)"
228,수지타운,경기 용인시 수지구 풍덕천로,"(37.32307685, 127.0951329)"
229,죽전중앙점,경기 용인시 수지구 현암로,"(37.331504, 127.109719)"
230,용인중앙점,경기 용인시 처인구 금령로,"(37.2350899, 127.2056062)"
231,용인한숲시티점,경기 용인시 처인구 남사읍,"(0.0, 0.0)"
232,용인역북점,경기 용인시 처인구 중부대로,"(37.226607, 127.2477947)"
233,에버랜드점,경기 용인시 처인구 포곡읍,"(37.2966869, 127.2129941)"
